Feature,Abs_Correlation,SHAP_Importance
social_activity_score,0.846076485616884,0.30341294822554066
socializing_score,0.8793063753774832,0.21340588157284338
introversion_score,0.837569083342514,0.15762009524281526
Time_spent_Alone,0.7424208143596519,0.15230957883537158
Stage_fear,0.7862108949729387,0.11853201519506815
Social_event_attendance,0.7270440925593885,0.12104641448417233
Drained_after_socializing,0.7916869967773655,0.018389190558285525
Going_outside,0.7107796777268474,0.12486693964695376
