Feature,RF_Importance,SHAP_Importance
social_activity_score,0.20488950284700905,0.30341294822554066
socializing_score,0.3352228334818686,0.21340588157284338
introversion_score,0.18233096827972195,0.15762009524281526
Time_spent_Alone,0.08844898166255594,0.15230957883537158
Going_outside,0.02619632461340534,0.12486693964695376
Social_event_attendance,0.061883629137171,0.12104641448417233
Stage_fear,0.030342329120796957,0.11853201519506815
Drained_after_socializing,0.0706854308574711,0.018389190558285525
